"Census Tract","FIPS Code","Formatted FIPS","Estimated percent of all people under 18 between 2013-2017."
"36013036500, NY","36013036500","=""36013036500""","17.92"
"36101961300, NY","36101961300","=""36101961300""","21.36"
"36075021000, NY","36075021000","=""36075021000""","23.65"
"36029015102, NY","36029015102","=""36029015102""","24.93"
"36105952400, NY","36105952400","=""36105952400""","17.78"
"36107020300, NY","36107020300","=""36107020300""","17.93"
"36095740100, NY","36095740100","=""36095740100""","20.81"
"36025970400, NY","36025970400","=""36025970400""","23.05"
"36105950300, NY","36105950300","=""36105950300""","18.40"
"36009960400, NY","36009960400","=""36009960400""","20.78"
"36033951000, NY","36033951000","=""36033951000""","24.78"
"36029014803, NY","36029014803","=""36029014803""","18.97"
"36107020701, NY","36107020701","=""36107020701""","22.13"
"36053030502, NY","36053030502","=""36053030502""","21.87"
"36075020200, NY","36075020200","=""36075020200""","19.44"
"36073040200, NY","36073040200","=""36073040200""","27.39"
"36027170000, NY","36027170000","=""36027170000""","15.17"
"36037950400, NY","36037950400","=""36037950400""","15.62"
"36039080202, NY","36039080202","=""36039080202""","20.48"
"36115092000, NY","36115092000","=""36115092000""","16.15"
"36021000800, NY","36021000800","=""36021000800""","18.46"
"36075020400, NY","36075020400","=""36075020400""","23.13"
"36033950502, NY","36033950502","=""36033950502""","4.73"
"36105950400, NY","36105950400","=""36105950400""","21.76"
"36009940300, NY","36009940300","=""36009940300""","29.63"
"36045061600, NY","36045061600","=""36045061600""","26.98"
"36105952500, NY","36105952500","=""36105952500""","23.57"
"36013036401, NY","36013036401","=""36013036401""","13.75"
"36101961500, NY","36101961500","=""36101961500""","18.73"
"36075021200, NY","36075021200","=""36075021200""","21.82"
"36121970900, NY","36121970900","=""36121970900""","17.67"
"36021001000, NY","36021001000","=""36021001000""","17.60"
"36021000900, NY","36021000900","=""36021000900""","18.67"
"36071014900, NY","36071014900","=""36071014900""","20.33"
"36107020401, NY","36107020401","=""36107020401""","19.63"
"36105952300, NY","36105952300","=""36105952300""","12.98"
"36067016902, NY","36067016902","=""36067016902""","22.64"
"36077590500, NY","36077590500","=""36077590500""","17.23"
"36121971000, NY","36121971000","=""36121971000""","22.01"
"36019102000, NY","36019102000","=""36019102000""","21.69"
"36007011903, NY","36007011903","=""36007011903""","24.42"
"36077591600, NY","36077591600","=""36077591600""","21.66"
"36083052101, NY","36083052101","=""36083052101""","20.96"
"36073040300, NY","36073040300","=""36073040300""","22.35"
"36109001700, NY","36109001700","=""36109001700""","18.03"
"36075021300, NY","36075021300","=""36075021300""","23.31"
"36091060503, NY","36091060503","=""36091060503""","20.93"
"36091061500, NY","36091061500","=""36091061500""","20.61"
"36013036000, NY","36013036000","=""36013036000""","17.80"
"36007010200, NY","36007010200","=""36007010200""","20.66"
"36075021502, NY","36075021502","=""36075021502""","19.45"
"36115089000, NY","36115089000","=""36115089000""","17.83"
"36065023000, NY","36065023000","=""36065023000""","22.91"
"36021000700, NY","36021000700","=""36021000700""","15.15"
"36065024000, NY","36065024000","=""36065024000""","24.51"
"36051030100, NY","36051030100","=""36051030100""","17.33"
"36059990400, NY","36059990400","=""36059990400""","N/A"
"36115085000, NY","36115085000","=""36115085000""","20.46"
"36067011402, NY","36067011402","=""36067011402""","23.78"
"36083052601, NY","36083052601","=""36083052601""","23.68"
"36111954400, NY","36111954400","=""36111954400""","18.70"
