"Census Tract","FIPS Code","Formatted FIPS","Estimated percent of all people under 18 between 2013-2017."
"37157041001, NC","37157041001","=""37157041001""","21.26"
"37003040500, NC","37003040500","=""37003040500""","22.73"
"37115010700, NC","37115010700","=""37115010700""","25.21"
"37167930900, NC","37167930900","=""37167930900""","22.55"
"37045951400, NC","37045951400","=""37045951400""","22.36"
"37085071101, NC","37085071101","=""37085071101""","27.05"
"37129011500, NC","37129011500","=""37129011500""","20.41"
"37161961000, NC","37161961000","=""37161961000""","24.57"
"37151030503, NC","37151030503","=""37151030503""","19.76"
"37009970500, NC","37009970500","=""37009970500""","16.88"
"37097060802, NC","37097060802","=""37097060802""","21.45"
"37157040700, NC","37157040700","=""37157040700""","20.17"
"37117970600, NC","37117970600","=""37117970600""","20.77"
"37031970301, NC","37031970301","=""37031970301""","19.97"
"37065021400, NC","37065021400","=""37065021400""","28.21"
"37167931100, NC","37167931100","=""37167931100""","23.64"
"37081015600, NC","37081015600","=""37081015600""","26.39"
"37195001100, NC","37195001100","=""37195001100""","21.51"
"37101041202, NC","37101041202","=""37101041202""","30.84"
"37069060301, NC","37069060301","=""37069060301""","19.00"
"37151031306, NC","37151031306","=""37151031306""","18.72"
"37057061902, NC","37057061902","=""37057061902""","16.00"
"37051002800, NC","37051002800","=""37051002800""","26.70"
"37169070400, NC","37169070400","=""37169070400""","24.90"
"37157040601, NC","37157040601","=""37157040601""","21.52"
"37055970400, NC","37055970400","=""37055970400""","15.10"
"37185950300, NC","37185950300","=""37185950300""","23.09"
"37127011000, NC","37127011000","=""37127011000""","28.62"
"37047930700, NC","37047930700","=""37047930700""","18.70"
"37081017200, NC","37081017200","=""37081017200""","20.94"
"37141920403, NC","37141920403","=""37141920403""","21.83"
"37007920400, NC","37007920400","=""37007920400""","29.61"
"37039930500, NC","37039930500","=""37039930500""","12.31"
"37025040600, NC","37025040600","=""37025040600""","21.66"
"37081015100, NC","37081015100","=""37081015100""","18.40"
"37199960200, NC","37199960200","=""37199960200""","14.10"
"37179020204, NC","37179020204","=""37179020204""","23.83"
"37025041702, NC","37025041702","=""37025041702""","17.66"
"37021003205, NC","37021003205","=""37021003205""","13.08"
"37157040102, NC","37157040102","=""37157040102""","23.55"
"37085071002, NC","37085071002","=""37085071002""","22.98"
"37155961801, NC","37155961801","=""37155961801""","29.57"
"37153970300, NC","37153970300","=""37153970300""","16.79"
"37141920601, NC","37141920601","=""37141920601""","25.18"
"37039930200, NC","37039930200","=""37039930200""","27.24"
"37059080200, NC","37059080200","=""37059080200""","22.29"
"37077970602, NC","37077970602","=""37077970602""","24.76"
"37173940100, NC","37173940100","=""37173940100""","28.32"
"37197050300, NC","37197050300","=""37197050300""","21.38"
"37121950400, NC","37121950400","=""37121950400""","16.89"
"37045950102, NC","37045950102","=""37045950102""","19.11"
"37171930102, NC","37171930102","=""37171930102""","20.77"
